transaction_id,amount,failure_reason,prior_successful_payments,prior_failed_payments,prior_recovery_attempts,hours_since_failure,active_promise_to_pay,contact_count_last_7_days,is_quiet_hours,action_taken,recovered
LOG-00000,2081.22,card_declined,8,1,3,9.5,False,2,False,reminder,0
LOG-00001,15198.81,insufficient_funds,2,3,1,9.7,False,1,False,reminder,0
LOG-00002,3070.6,card_declined,6,0,3,10.8,True,1,False,reminder,0
LOG-00003,1582.42,insufficient_funds,2,0,1,27.7,False,1,False,reminder,0
LOG-00004,3073.58,card_declined,2,0,1,5.6,False,0,False,reminder,0
LOG-00005,4002.05,insufficient_funds,2,3,3,64.3,False,0,False,reminder,0
LOG-00006,7022.48,insufficient_funds,6,1,1,81.9,False,2,False,reminder,0
LOG-00007,3244.26,card_declined,6,1,0,0.9,False,1,False,retry,0
LOG-00008,2161.62,network_error,6,0,1,23.0,False,0,False,reminder,0
LOG-00009,6120.4,expired_card,2,5,0,19.9,True,1,False,wait,0
LOG-00010,6888.27,insufficient_funds,4,1,2,4.5,False,0,False,reminder,0
LOG-00011,18720.94,insufficient_funds,5,1,1,42.0,True,1,True,wait,0
LOG-00012,4176.94,expired_card,5,0,2,24.7,False,0,False,reminder,0
LOG-00013,27686.43,insufficient_funds,5,0,1,3.4,False,0,False,reminder,1
LOG-00014,7875.71,expired_card,1,0,0,20.8,False,1,False,retry,1
LOG-00015,16173.72,insufficient_funds,4,1,0,80.3,True,5,False,wait,1
LOG-00016,1060.12,card_declined,5,1,0,35.9,False,1,False,retry,0
LOG-00017,15855.11,insufficient_funds,8,0,2,73.7,True,1,False,reminder,0
LOG-00018,24740.82,card_declined,5,2,2,20.2,True,0,True,wait,0
LOG-00019,13357.38,card_declined,6,0,0,17.7,False,2,False,retry,0
LOG-00020,991.01,card_declined,5,2,2,2.1,False,1,False,reminder,0
LOG-00021,4106.76,network_error,4,1,0,6.5,False,1,True,retry,1
LOG-00022,19026.46,expired_card,6,2,0,35.1,False,1,False,retry,0
LOG-00023,2881.6,bank_timeout,3,2,0,53.3,False,1,True,retry,1
LOG-00024,5768.63,insufficient_funds,7,0,0,11.0,False,1,False,retry,0
LOG-00025,3271.23,expired_card,2,1,1,3.2,False,1,False,reminder,0
LOG-00026,3691.36,insufficient_funds,10,0,1,11.2,False,1,False,reminder,0
LOG-00027,5428.82,insufficient_funds,3,3,2,11.2,False,0,True,reminder,0
LOG-00028,1917.69,bank_timeout,5,2,0,1.4,False,0,False,retry,1
LOG-00029,9965.15,insufficient_funds,5,1,0,24.3,False,2,False,retry,0
LOG-00030,10294.99,insufficient_funds,4,2,0,124.7,False,0,False,retry,0
LOG-00031,30372.68,expired_card,11,2,3,22.1,False,0,False,escalate,0
LOG-00032,6218.45,expired_card,8,1,0,47.3,False,2,False,retry,0
LOG-00033,19199.56,insufficient_funds,0,2,1,42.1,False,1,False,reminder,0
LOG-00034,9092.97,bank_timeout,3,3,1,53.1,False,0,False,reminder,1
LOG-00035,16523.17,card_declined,2,0,1,46.6,False,1,False,reminder,0
LOG-00036,7481.5,network_error,7,0,1,14.3,False,2,False,reminder,0
LOG-00037,517.09,insufficient_funds,4,1,0,3.2,False,0,False,retry,0
LOG-00038,8591.67,card_declined,1,1,1,5.9,True,0,False,wait,1
LOG-00039,10586.31,insufficient_funds,6,2,0,63.0,False,0,True,retry,0
LOG-00040,519.43,insufficient_funds,1,0,0,57.2,False,1,False,retry,0
LOG-00041,9291.97,insufficient_funds,9,2,1,9.3,True,0,False,reminder,1
LOG-00042,4538.13,bank_timeout,4,0,2,5.7,False,2,False,payment_link,0
LOG-00043,2111.08,card_declined,3,1,1,39.4,False,1,False,reminder,0
LOG-00044,6710.66,card_declined,1,2,0,19.7,False,1,True,retry,0
LOG-00045,30865.26,insufficient_funds,8,3,0,59.8,False,2,False,retry,0
LOG-00046,7517.33,insufficient_funds,6,0,0,6.7,True,2,False,wait,1
LOG-00047,3940.38,network_error,2,3,0,66.4,False,3,True,retry,0
LOG-00048,14035.42,card_declined,4,0,0,85.4,False,0,False,retry,0
LOG-00049,7310.25,card_declined,4,0,1,9.7,False,2,False,reminder,0
LOG-00050,7694.98,card_declined,8,0,0,59.1,False,1,False,retry,1
LOG-00051,7923.03,insufficient_funds,6,3,0,3.7,False,2,False,retry,0
LOG-00052,12386.44,insufficient_funds,2,1,0,6.5,False,0,False,retry,0
LOG-00053,8993.99,card_declined,6,2,2,93.8,False,1,False,reminder,0
LOG-00054,7178.48,insufficient_funds,7,0,2,7.4,False,1,False,payment_link,1
LOG-00055,7983.73,card_declined,8,1,2,62.9,False,0,False,reminder,0
LOG-00056,5532.24,card_declined,11,1,1,7.5,False,2,True,reminder,0
LOG-00057,18379.9,expired_card,4,1,0,20.2,False,0,True,retry,1
LOG-00058,23841.56,expired_card,5,1,4,30.6,False,1,True,reminder,0
LOG-00059,6988.59,insufficient_funds,8,1,0,0.4,True,0,False,wait,0
LOG-00060,5101.18,card_declined,6,1,0,43.6,False,0,False,retry,0
LOG-00061,12870.04,insufficient_funds,2,0,1,17.8,False,0,False,reminder,0
LOG-00062,3416.65,expired_card,4,2,1,12.8,False,0,False,reminder,0
LOG-00063,1240.93,network_error,5,0,0,38.9,False,1,False,retry,1
LOG-00064,3022.4,insufficient_funds,4,0,0,17.0,False,0,False,retry,0
LOG-00065,518.12,insufficient_funds,5,0,0,48.4,False,1,False,retry,0
LOG-00066,8695.29,insufficient_funds,7,2,1,6.0,False,1,False,reminder,0
LOG-00067,3034.4,expired_card,8,1,1,11.6,False,1,False,reminder,0
LOG-00068,24836.52,card_declined,6,0,0,1.1,False,1,False,retry,0
LOG-00069,1871.79,network_error,5,2,3,17.7,True,1,False,reminder,0
LOG-00070,16161.93,insufficient_funds,5,1,1,29.9,False,1,False,reminder,1
LOG-00071,2213.03,card_declined,3,4,2,0.4,False,2,False,reminder,1
LOG-00072,3812.49,card_declined,3,1,2,3.7,False,0,True,payment_link,1
LOG-00073,5400.16,insufficient_funds,13,1,0,11.0,False,0,False,retry,1
LOG-00074,4007.53,insufficient_funds,4,2,0,8.0,False,2,False,retry,0
LOG-00075,19954.03,expired_card,4,2,2,118.7,False,0,False,payment_link,1
LOG-00076,1223.31,insufficient_funds,4,2,1,82.9,True,2,False,wait,0
LOG-00077,1179.52,expired_card,9,2,1,2.1,False,2,False,reminder,0
LOG-00078,1245.13,insufficient_funds,3,3,0,1.6,False,0,False,retry,1
LOG-00079,4707.28,insufficient_funds,8,1,0,0.9,False,0,False,retry,1
LOG-00080,8564.32,card_declined,11,0,1,56.7,False,0,False,reminder,0
LOG-00081,1025.51,insufficient_funds,8,1,0,110.3,False,2,True,retry,0
LOG-00082,5039.84,network_error,5,1,1,27.7,False,1,True,reminder,0
LOG-00083,471.38,insufficient_funds,2,1,1,27.8,False,1,False,reminder,0
LOG-00084,19112.94,insufficient_funds,6,1,0,64.7,False,1,False,retry,0
LOG-00085,5957.59,network_error,5,0,2,23.9,False,0,False,reminder,0
LOG-00086,1105.32,card_declined,9,0,0,105.2,False,0,False,retry,0
LOG-00087,6515.61,network_error,10,2,1,26.9,False,1,False,reminder,0
LOG-00088,9322.76,network_error,3,2,0,0.9,False,1,False,retry,0
LOG-00089,6228.1,card_declined,6,0,3,50.4,False,0,False,reminder,0
LOG-00090,1214.77,insufficient_funds,5,0,0,59.2,True,0,False,wait,0
LOG-00091,21534.11,network_error,7,1,0,8.6,False,1,False,retry,1
LOG-00092,1707.6,card_declined,7,1,2,7.5,True,0,False,payment_link,1
LOG-00093,14900.79,card_declined,9,1,2,5.3,False,0,True,reminder,0
LOG-00094,3624.87,card_declined,2,1,1,66.0,False,2,False,reminder,0
LOG-00095,11620.54,bank_timeout,6,3,2,78.0,False,0,False,reminder,0
LOG-00096,5078.11,card_declined,4,0,2,1.6,False,0,False,payment_link,1
LOG-00097,13685.59,network_error,3,1,1,0.6,False,2,False,reminder,0
LOG-00098,3112.53,insufficient_funds,6,0,0,7.8,False,2,False,retry,0
LOG-00099,3133.89,network_error,2,0,1,64.1,False,1,False,reminder,1
LOG-00100,13724.06,network_error,9,1,1,15.6,False,0,False,reminder,0
LOG-00101,2204.78,bank_timeout,5,2,0,2.9,False,1,True,retry,1
LOG-00102,5792.51,card_declined,4,3,2,3.7,False,1,False,payment_link,1
LOG-00103,6107.5,insufficient_funds,2,1,1,37.7,False,1,False,reminder,1
LOG-00104,6659.75,expired_card,4,1,2,19.8,False,0,False,reminder,0
LOG-00105,5763.49,card_declined,3,1,2,10.4,False,3,False,reminder,0
LOG-00106,1819.47,insufficient_funds,6,1,1,2.7,False,1,False,reminder,0
LOG-00107,7090.07,network_error,3,1,0,18.7,False,3,True,retry,1
LOG-00108,1203.62,insufficient_funds,2,1,0,11.8,True,0,True,wait,1
LOG-00109,3077.96,insufficient_funds,2,0,3,80.2,False,2,False,reminder,0
LOG-00110,2212.43,insufficient_funds,3,1,3,13.1,True,0,False,wait,0
LOG-00111,2910.93,card_declined,6,1,0,11.0,False,4,False,retry,0
LOG-00112,5582.34,insufficient_funds,5,0,2,40.8,True,2,False,wait,1
LOG-00113,889.6,bank_timeout,4,2,0,38.0,False,1,True,retry,1
LOG-00114,1803.75,expired_card,2,1,1,83.2,False,0,False,reminder,1
LOG-00115,4984.42,card_declined,2,1,0,23.0,False,1,False,retry,0
LOG-00116,4970.51,card_declined,6,0,1,82.0,False,1,False,reminder,0
LOG-00117,1357.08,expired_card,2,2,0,4.6,True,2,False,retry,0
LOG-00118,15766.96,bank_timeout,2,1,0,17.9,False,1,False,retry,1
